 ,Area,Mean,Min,Max
1,97.843,55.286,0,255
2,123.244,46.967,0,255
3,119.378,51.762,0,255
4,90.467,53.529,1,232
5,114.098,51.917,0,254
6,108.271,57.505,0,225
7,108.577,57.644,0,225
8,104.895,61.871,15,176
9,118.879,61.799,9,220
10,128.021,60.915,7,193
11,117.839,53.955,1,219
12,88.839,58.602,5,203
13,113.479,45.384,0,230
14,129.304,51.685,0,244
15,125.295,59.193,0,255
16,108.896,57.004,4,211
17,102.779,61.435,4,216
18,90.667,56.449,1,222
19,100.060,56.904,0,200
20,97.828,55.791,0,200
21,105.361,55.773,0,253
22,104.363,55.217,0,253
23,100.726,57.297,0,200
24,87.476,59.373,0,208
25,102.317,61.275,4,216
26,90.678,60.213,5,223
27,114.750,56.807,0,234
28,115.282,56.302,0,216
29,122.350,69.564,5,236
30,123.610,70.055,5,236
31,70.075,62.748,6,228
32,106.543,60.435,0,235
33,84.423,51.017,0,201
34,105.980,58.223,3,210
