 ,Area,Mean,Min,Max
1,118.857,65.186,2,247
2,123.928,61.234,0,196
3,99.629,58.220,0,210
4,94.129,74.370,0,235
5,92.809,63.380,2,202
6,101.742,46.799,0,209
7,118.446,64.967,2,247
8,104.006,70.449,8,217
9,104.875,67.546,11,189
10,106.862,86.834,22,231
11,55.005,67.086,5,204
12,11.278,84.638,18,199
13,88.927,69.500,6,213
14,88.609,89.724,20,245
15,105.565,83.898,0,240
16,94.238,70.033,11,217
17,37.586,61.852,11,185
18,17.242,58.948,18,179
19,74.176,65.475,17,199
20,61.512,70.748,10,191
21,94.572,67.260,12,213
22,15.325,60.119,19,151
23,41.388,61.855,10,220
24,95.732,60.753,2,198
25,62.167,71.070,8,200
26,92.887,63.699,8,203
27,73.362,70.150,15,215
28,39.980,69.939,21,206
29,53.596,71.271,13,211
30,3.778,89.746,57,142
31,0.998,99.573,71,161
32,0.429,96.294,78,128
33,74.962,67.795,0,221
34,75.542,66.107,8,187
35,90.497,61.661,1,240
36,103.925,75.343,16,255
37,74.209,62.373,10,230
38,93.228,79.804,9,250
39,84.348,66.821,13,228
40,96.760,79.800,20,255
41,93.500,66.115,14,212
42,93.278,72.235,21,221
43,101.639,81.614,10,250
44,80.154,73.884,22,218
45,93.593,81.397,23,235
46,58.831,80.545,28,221
47,75.530,91.434,35,232
48,77.009,74.079,7,215
